matchId,videoTimestamp,postShotXg,xg,videoPath
5228114,3807,0.4892,0.455,video/competition-198/season-187389/match-5228114/goal-s3795-e3842.mp4
5228114,3968,0.4062,0.2667,video/competition-198/season-187389/match-5228114/goal-s3956-e4003.mp4
5228114,4353,0.1929,0.06729,video/competition-198/season-187389/match-5228114/goal-s4340-e4387.mp4
5228114,4904,0.766,0.286,video/competition-198/season-187389/match-5228114/goal-s4891-e4938.mp4
5228115,479,0.3981,0.1043,video/competition-198/season-187389/match-5228115/goal-s466-e513.mp4
5228115,4022,0.306,0.3594,video/competition-198/season-187389/match-5228115/goal-s4010-e4057.mp4
5228116,4472,0.8778,0.4712,video/competition-198/season-187389/match-5228116/goal-s4460-e4507.mp4
5228116,5208,0.6484,0.1398,video/competition-198/season-187389/match-5228116/goal-s5195-e5242.mp4
5228116,5771,0.5761,0.112,video/competition-198/season-187389/match-5228116/goal-s5759-e5806.mp4
5228117,4460,0.522,0.1013,video/competition-198/season-187389/match-5228117/goal-s4447-e4494.mp4
5228118,2255,0.5439,0.1963,video/competition-198/season-187389/match-5228118/goal-s2242-e2289.mp4
5228118,3495,0.793,0.2352,video/competition-198/season-187389/match-5228118/goal-s3482-e3529.mp4
5228119,509,0.2743,0.04418,video/competition-198/season-187389/match-5228119/goal-s497-e544.mp4
5228119,3184,0.3568,0.05062,video/competition-198/season-187389/match-5228119/goal-s3171-e3218.mp4
5228120,2905,0.5284,0.1512,video/competition-198/season-187389/match-5228120/goal-s2892-e2939.mp4
5228120,3045,0.06135,0.09754,video/competition-198/season-187389/match-5228120/goal-s3032-e3079.mp4
5228120,3185,0.8455,0.5841,video/competition-198/season-187389/match-5228120/goal-s3173-e3220.mp4
5228120,4602,0.5015,0.08833,video/competition-198/season-187389/match-5228120/goal-s4589-e4636.mp4
5228120,5201,0.4465,0.4819,video/competition-198/season-187389/match-5228120/goal-s5188-e5235.mp4
5228121,1240,0.2487,0.1622,video/competition-198/season-187389/match-5228121/goal-s1228-e1275.mp4
5228121,3984,0.3244,0.3153,video/competition-198/season-187389/match-5228121/goal-s3971-e4018.mp4
5228121,4538,0.1377,0.1083,video/competition-198/season-187389/match-5228121/goal-s4525-e4572.mp4
5228122,172,0.3149,0.07062,video/competition-198/season-187389/match-5228122/goal-s160-e207.mp4
5228122,3644,0.6487,0.2702,video/competition-198/season-187389/match-5228122/goal-s3631-e3678.mp4
5228122,4751,0.3776,0.1083,video/competition-198/season-187389/match-5228122/goal-s4739-e4786.mp4
5228122,5611,0.1361,0.1605,video/competition-198/season-187389/match-5228122/goal-s5598-e5645.mp4
5228123,4009,0.04229,0.04627,video/competition-198/season-187389/match-5228123/goal-s3997-e4044.mp4
5228124,1649,0.559,0.08583,video/competition-198/season-187389/match-5228124/goal-s1636-e1683.mp4
5228124,5712,0.6439,0.2682,video/competition-198/season-187389/match-5228124/goal-s5700-e5747.mp4
5228125,49,0.2132,0.1883,video/competition-198/season-187389/match-5228125/goal-s36-e83.mp4
5228125,754,0.8355,0.6512,video/competition-198/season-187389/match-5228125/goal-s742-e789.mp4
5228125,1718,0.02781,0.0216,video/competition-198/season-187389/match-5228125/goal-s1706-e1753.mp4
5228126,3374,0.8775,0.7353,video/competition-198/season-187389/match-5228126/goal-s3362-e3409.mp4
5228126,4813,0.2688,0.05759,video/competition-198/season-187389/match-5228126/goal-s4800-e4847.mp4
5228126,5049,0.7063,0.1115,video/competition-198/season-187389/match-5228126/goal-s5036-e5083.mp4
5228126,5432,0.1086,0.1132,video/competition-198/season-187389/match-5228126/goal-s5419-e5466.mp4
5228127,737,0.7706,0.23,video/competition-198/season-187389/match-5228127/goal-s724-e771.mp4
5228127,1599,0.2971,0.06762,video/competition-198/season-187389/match-5228127/goal-s1587-e1634.mp4
5228127,2163,0.2448,0.07407,video/competition-198/season-187389/match-5228127/goal-s2151-e2198.mp4
5228127,2444,0.8731,0.8084,video/competition-198/season-187389/match-5228127/goal-s2431-e2478.mp4
5228127,4169,0.4819,0.3914,video/competition-198/season-187389/match-5228127/goal-s4156-e4203.mp4
5228127,4821,0.81,0.76,video/competition-198/season-187389/match-5228127/goal-s4809-e4856.mp4
5228128,4733,0.8392,0.5483,video/competition-198/season-187389/match-5228128/goal-s4721-e4768.mp4
5228129,247,0.5554,0.1644,video/competition-198/season-187389/match-5228129/goal-s234-e281.mp4
5228129,3605,0.7618,0.1656,video/competition-198/season-187389/match-5228129/goal-s3593-e3640.mp4
5228129,5112,0.3239,0.14,video/competition-198/season-187389/match-5228129/goal-s5099-e5146.mp4
5228130,1893,0.4159,0.05256,video/competition-198/season-187389/match-5228130/goal-s1880-e1927.mp4
5228130,2322,0.6162,0.196,video/competition-198/season-187389/match-5228130/goal-s2310-e2357.mp4
5228130,3449,0.8691,0.8528,video/competition-198/season-187389/match-5228130/goal-s3436-e3483.mp4
5228130,4896,0.6021,0.1238,video/competition-198/season-187389/match-5228130/goal-s4884-e4931.mp4
5228130,5103,0.2204,0.1979,video/competition-198/season-187389/match-5228130/goal-s5090-e5137.mp4
5228131,45,0.5496,0.1371,video/competition-198/season-187389/match-5228131/goal-s33-e80.mp4
5228131,5890,0.6757,0.3107,video/competition-198/season-187389/match-5228131/goal-s5877-e5924.mp4
5228132,2291,0.3794,0.1336,video/competition-198/season-187389/match-5228132/goal-s2278-e2325.mp4
5228132,3594,0.81,0.76,video/competition-198/season-187389/match-5228132/goal-s3581-e3628.mp4
5228133,1113,0.4014,0.1563,video/competition-198/season-187389/match-5228133/goal-s1100-e1147.mp4
5228133,2169,0.761,0.2536,video/competition-198/season-187389/match-5228133/goal-s2156-e2203.mp4
5228133,3137,0.2624,0.2482,video/competition-198/season-187389/match-5228133/goal-s3125-e3172.mp4
5228133,4724,0.2868,0.2139,video/competition-198/season-187389/match-5228133/goal-s4712-e4759.mp4
5228134,238,0.612,0.1286,video/competition-198/season-187389/match-5228134/goal-s226-e273.mp4
5228134,1775,0.5143,0.2925,video/competition-198/season-187389/match-5228134/goal-s1763-e1810.mp4
5228134,2168,0.1395,0.01684,video/competition-198/season-187389/match-5228134/goal-s2156-e2203.mp4
5228134,3500,0.3064,0.06246,video/competition-198/season-187389/match-5228134/goal-s3487-e3534.mp4
5228134,4778,0.6144,0.2508,video/competition-198/season-187389/match-5228134/goal-s4766-e4813.mp4
5228135,19,0.7262,0.3357,video/competition-198/season-187389/match-5228135/goal-s6-e53.mp4
5228135,761,0.7106,0.07899,video/competition-198/season-187389/match-5228135/goal-s748-e795.mp4
5228135,3507,0.7427,0.2644,video/competition-198/season-187389/match-5228135/goal-s3495-e3542.mp4
5228135,4798,0.6579,0.3329,video/competition-198/season-187389/match-5228135/goal-s4786-e4833.mp4
5228136,804,0.104,0.1276,video/competition-198/season-187389/match-5228136/goal-s792-e839.mp4
5228136,1159,0.1783,0.1077,video/competition-198/season-187389/match-5228136/goal-s1147-e1194.mp4
5228136,3669,0.5171,0.02632,video/competition-198/season-187389/match-5228136/goal-s3656-e3703.mp4
5228136,4753,0.6246,0.2172,video/competition-198/season-187389/match-5228136/goal-s4741-e4788.mp4
5228137,2167,0.1628,0.07048,video/competition-198/season-187389/match-5228137/goal-s2155-e2202.mp4
5228137,3279,0.8544,0.4309,video/competition-198/season-187389/match-5228137/goal-s3266-e3313.mp4
5228137,3728,0.6518,0.1494,video/competition-198/season-187389/match-5228137/goal-s3716-e3803.mp4
5228137,3768,0.5203,0.1222,video/competition-198/season-187389/match-5228137/goal-s3716-e3803.mp4
5228137,4891,0.75,0.4321,video/competition-198/season-187389/match-5228137/goal-s4878-e4925.mp4
5228137,5596,0.5014,0.04846,video/competition-198/season-187389/match-5228137/goal-s5583-e5630.mp4
5228138,404,0.797,0.4483,video/competition-198/season-187389/match-5228138/goal-s392-e439.mp4
5228139,2958,0.725,0.377,video/competition-198/season-187389/match-5228139/goal-s2945-e2992.mp4
5228139,3121,0.8315,0.6922,video/competition-198/season-187389/match-5228139/goal-s3108-e3155.mp4
5228140,1337,0.3754,0.1464,video/competition-198/season-187389/match-5228140/goal-s1325-e1372.mp4
5228140,2323,0.7822,0.7208,video/competition-198/season-187389/match-5228140/goal-s2310-e2357.mp4
5228140,3158,0.5399,0.2567,video/competition-198/season-187389/match-5228140/goal-s3146-e3193.mp4
